Long,Lat,Line,Station
-59,-61.75,11,12-08
-60.5,-61,11,15-05
-61,-61.25,12,16-06
-59.5,-62,12,13-09
-60,-62.25,13,14-10
-61.5,-61.5,13,17-07
-62,-61.75,14,18-08
-61,-62.25,14,16-10
-61.5,-62.5,15,17-11
-62.5,-62,15,19-09
-63,-62.25,16,20-10
-62,-62.75,16,18-12

